id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1277993,Rental unit in Mgarr · ★4.29 · 1 bedroom · 1 bed · 1 shared bath,6711794,Gloria,Mgarr,35.9182,14.38514,Private room,45,1,62,10,362,2
1281848,Rental unit in Valletta · ★4.24 · 1 bedroom · 1 bed · 1 bath,999963,Vbl,Valletta,35.89925,14.51691,Entire home/apt,118,2,94,27,339,4
1293551,Home in Senglea · ★4.74 · 1 bedroom · 2 beds · 1 bath,7033543,Alberto,Isla,35.88758,14.51839,Entire home/apt,87,1,549,2,249,71
1305239,Rental unit in San Gwann · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,1141306,The Digital Nomad Yogi Family,San Gwann,35.90891,14.48221,Private room,35,2,126,7,316,13
1306145,Townhouse in Floriana · ★4.63 · 1 bedroom · 2 beds · 1 bath,578865,Alan,Floriana,35.88913,14.50632,Entire home/apt,58,6,81,7,169,11
1306601,Villa in Zurrieq · ★4.80 · 3 bedrooms · 5 beds · 4.5 baths,7103765,Janice,Zurrieq,35.822498,14.463169,Entire home/apt,538,4,20,7,233,4
1306751,Rental unit in Floriana · ★4.78 · 1 bedroom · 2 beds · 1 bath,578865,Alan,Floriana,35.88916,14.50538,Entire home/apt,58,6,137,7,139,14
1306782,Townhouse in Floriana · ★4.65 · 1 bedroom · 2 beds · 1 bath,578865,Alan,Floriana,35.88945,14.50456,Entire home/apt,58,6,154,7,172,14
1327486,Boutique hotel in Tas-Sliema · ★4.89 · 1 bedroom · 2 beds · 2.5 baths,7204273,Two Pillows Boutique Hostel,Sliema,35.91147,14.50285,Private room,153,1,9,13,329,2
1331795,Boutique hotel in Tas-Sliema · ★4.50 · 1 bedroom · 3 beds · 1 private bath,7204273,Two Pillows Boutique Hostel,Sliema,35.91029,14.50323,Private room,153,1,8,13,307,0
1332005,Hostel in Tas-Sliema · ★4.67 · 1 bedroom · 4 beds · 2.5 shared baths,7204273,Two Pillows Boutique Hostel,Sliema,35.91028,14.50326,Shared room,30,1,25,13,336,1
1335886,Boutique hotel in Tas-Sliema · ★4.86 · 1 bedroom · 2 beds · 2.5 baths,7204273,Two Pillows Boutique Hostel,Sliema,35.9103,14.50326,Private room,155,1,14,13,338,1
1340744,Rental unit in San Pawl il-Baħar · ★4.71 · 3 bedrooms · 5 beds · 2 baths,5876109,Maria,San Pawl il-Bahar,35.95504,14.42286,Entire home/apt,110,4,59,17,346,11
1345050,Rental unit in Swieqi · ★4.75 · 1 bedroom · 3 beds · 1 bath,6940012,Doreen,Swieqi,35.91861,14.48264,Entire home/apt,65,1,72,5,167,4
1350781,Hostel in Tas-Sliema · ★4.63 · 1 bedroom · 6 beds · 2.5 shared baths,7204273,Two Pillows Boutique Hostel,Sliema,35.91024,14.50327,Shared room,28,1,36,13,343,2
1394608,Rental unit in Valletta · ★4.51 · 1 bedroom · 2 beds · 1 bath,3585451,Franco,Valletta,35.89853,14.50894,Entire home/apt,66,3,369,7,234,36
1395801,Rental unit in Mosta · ★4.83 · 1 bedroom · 2 beds · 1.5 baths,7540668,Anastasia And Massimo,Mosta,35.90984,14.4209,Private room,40,3,52,2,215,0
1396133,Rental unit in Xlendi · ★4.74 · 2 bedrooms · 3 beds · 2.5 baths,7543567,Joe,Munxar,36.02886,14.21919,Entire home/apt,40,2,429,1,0,0
1396233,Hostel in Tas-Sliema · ★4.80 · 1 bedroom · 6 beds · 2.5 shared baths,7204273,Two Pillows Boutique Hostel,Sliema,35.91017,14.50331,Shared room,28,1,41,13,340,13
1397883,Hostel in Tas-Sliema · ★4.77 · 1 bedroom · 6 beds · 2.5 shared baths,7204273,Two Pillows Boutique Hostel,Sliema,35.91023,14.50331,Shared room,28,1,184,13,340,42
1398746,Rental unit in Valletta · ★4.60 · 1 bedroom · 2 beds · 1 bath,3585451,Franco,Valletta,35.89866,14.50899,Entire home/apt,81,3,381,7,312,38
1401077,Rental unit in Sliema · ★4.47 · 3 bedrooms · 6 beds · 2 baths,7565120,Rosella,Sliema,35.91094,14.50493,Entire home/apt,87,3,137,1,310,9
1412080,Rental unit in Tas-Sliema · ★4.21 · 2 bedrooms · 3 beds · 1 bath,5576250,Maria,Sliema,35.91365,14.4969,Entire home/apt,75,3,29,2,215,0
1420439,Rental unit in Marsascala · ★4.40 · 2 bedrooms · 4 beds · 1.5 baths,2482611,Vacation,Marsascala,35.85723,14.56418,Entire home/apt,61,7,20,4,259,1
1435224,Villa in Mellieha · ★4.79 · 2 bedrooms · 3 beds · 2 baths,7103765,Janice,Mellieha,35.960548,14.36819,Entire home/apt,325,4,24,7,343,6
1435434,Villa in Mellieha · ★4.82 · 5 bedrooms · 11 beds · 5.5 baths,7103765,Janice,Mellieha,35.95235,14.3501,Entire home/apt,538,4,40,7,299,12
1435500,Villa in Mellieha · ★4.53 · 3 bedrooms · 5 beds · 3.5 baths,7103765,Janice,Mellieha,35.961491,14.367974,Entire home/apt,403,4,15,7,317,3
1435501,Villa in Mellieha · ★4.70 · 5 bedrooms · 11 beds · 5.5 baths,7103765,Janice,Mellieha,35.96019608743603,14.368420560019583,Entire home/apt,538,4,30,7,309,7
